Header Size:	8
Name:	STANDARDIZED 
Date:	Fri Feb 27 16:45:56 2015
Coordinate System:	Global Coordinate System
Character Dimensions:	3	6
TCP Rotation Matrix:	0	0	-1	0	1	0	1	0	0
Column Fields:	CartesianPosition
Column Element Size:	3
Entries:	1637
-0.000712	0.002869	0.001298
-0.000705	0.002883	0.001297
-0.000698	0.002895	0.001297
-0.000689	0.002908	0.001295
-0.000683	0.002923	0.001294
-0.000675	0.002938	0.001293
-0.000666	0.002955	0.001290
-0.000658	0.002968	0.001288
-0.000649	0.002982	0.001285
-0.000640	0.002998	0.001282
-0.000631	0.003012	0.001281
-0.000621	0.003026	0.001277
-0.000611	0.003039	0.001274
-0.000601	0.003055	0.001270
-0.000592	0.003071	0.001268
-0.000583	0.003085	0.001265
-0.000573	0.003098	0.001262
-0.000563	0.003114	0.001260
-0.000553	0.003130	0.001256
-0.000542	0.003144	0.001252
-0.000532	0.003157	0.001249
-0.000521	0.003171	0.001245
-0.000512	0.003186	0.001244
-0.000503	0.003201	0.001241
-0.000492	0.003214	0.001237
-0.000482	0.003227	0.001234
-0.000471	0.003242	0.001229
-0.000460	0.003257	0.001225
-0.000448	0.003270	0.001220
-0.000436	0.003283	0.001215
-0.000426	0.003298	0.001211
-0.000413	0.003313	0.001206
-0.000403	0.003326	0.001204
-0.000392	0.003338	0.001199
-0.000381	0.003353	0.001196
-0.000370	0.003367	0.001193
-0.000358	0.003381	0.001189
-0.000345	0.003393	0.001184
-0.000333	0.003407	0.001180
-0.000322	0.003422	0.001176
-0.000308	0.003437	0.001171
-0.000296	0.003450	0.001168
-0.000282	0.003464	0.001163
-0.000271	0.003480	0.001161
-0.000258	0.003495	0.001156
-0.000246	0.003508	0.001152
-0.000232	0.003523	0.001147
-0.000220	0.003541	0.001144
-0.000206	0.003556	0.001140
-0.000193	0.003570	0.001135
-0.000179	0.003586	0.001131
-0.000167	0.003604	0.001127
-0.000153	0.003620	0.001124
-0.000140	0.003635	0.001121
-0.000127	0.003653	0.001118
-0.000114	0.003671	0.001113
-0.000101	0.003687	0.001109
-0.000088	0.003703	0.001107
-0.000077	0.003722	0.001105
-0.000064	0.003742	0.001102
-0.000052	0.003762	0.001099
-0.000040	0.003782	0.001097
-0.000030	0.003804	0.001096
-0.000019	0.003824	0.001094
-0.000009	0.003844	0.001093
0.000001	0.003867	0.001092
0.000011	0.003887	0.001090
0.000020	0.003907	0.001090
0.000029	0.003930	0.001091
0.000038	0.003951	0.001090
0.000048	0.003972	0.001089
0.000056	0.003993	0.001089
0.000064	0.004015	0.001090
0.000071	0.004036	0.001091
0.000078	0.004059	0.001092
0.000085	0.004081	0.001092
0.000092	0.004102	0.001093
0.000099	0.004125	0.001093
0.000106	0.004145	0.001095
0.000113	0.004165	0.001097
0.000120	0.004187	0.001098
0.000126	0.004209	0.001100
0.000133	0.004230	0.001101
0.000139	0.004251	0.001102
0.000145	0.004273	0.001104
0.000153	0.004293	0.001105
0.000160	0.004316	0.001105
0.000167	0.004338	0.001106
0.000175	0.004358	0.001107
0.000182	0.004380	0.001108
0.000189	0.004401	0.001110
0.000196	0.004421	0.001111
0.000202	0.004443	0.001113
0.000210	0.004464	0.001115
0.000216	0.004484	0.001117
0.000225	0.004505	0.001117
0.000234	0.004526	0.001117
0.000242	0.004544	0.001119
0.000250	0.004563	0.001121
0.000258	0.004582	0.001122
0.000268	0.004598	0.001123
0.000276	0.004616	0.001124
0.000285	0.004634	0.001125
